"date","close","volume","open","high","low"
"2010/01/19","32.3550","3723934.0000","32.1000","32.4000","31.9800"
"2010/01/15","32.1950","5637008.0000","32.3900","32.5050","31.9750"
"2010/01/14","32.4950","3652258.0000","32.7450","32.9150","32.3750"
"2010/01/13","32.7000","2820726.0000","32.5550","32.8350","32.3900"
"2010/01/12","32.4100","5740662.0000","32.3000","32.5500","32.1400"
"2010/01/11","32.4550","5333276.0000","32.9600","32.9650","32.3250"
"2010/01/08","32.8600","3624818.0000","32.8950","32.9250","32.4700"
"2010/01/07","32.9250","3593822.0000","32.5600","33.0000","32.5250"
"2010/01/06","32.6050","6699614.0000","32.7000","32.8450","32.4700"
"2010/01/05","32.8050","3137728.0000","32.5700","32.8950","32.3500"
"2010/01/04","32.6750","5981522.0000","33.0300","33.0350","32.5600"
"2009/12/31","33.0350","3173848.0000","33.1050","33.3100","33.0250"
"2009/12/30","33.0700","3466078.0000","32.9250","33.1200","32.8550"
"2009/12/29","33.1050","4041416.0000","32.7500","33.2150","32.6100"
"2009/12/28","32.7500","2824038.0000","32.6250","32.7750","32.3900"
"2009/12/24","32.6250","1151108.0000","32.7200","32.7800","32.5000"
"2009/12/23","32.7200","3074372.0000","32.5350","32.7650","32.4450"
"2009/12/22","32.5500","4119492.0000","32.4400","32.6650","32.0900"
"2009/12/21","32.4400","3699770.0000","32.2600","32.6350","32.2250"
"2009/12/18","32.2100","10152138.0000","32.2000","32.6750","32.0250"
"2009/12/17","31.6250","5831358.0000","31.7850","32.0250","31.5350"
"2009/12/16","32.0250","3818608.0000","32.3400","32.3400","31.8150"
"2009/12/15","32.1750","4802508.0000","31.9650","32.5450","31.8100"
"2009/12/14","32.0800","4628976.0000","32.0050","32.1600","31.5600"
"2009/12/11","31.9300","5414740.0000","31.5800","32.0950","31.5450"
"2009/12/10","31.3500","5979342.0000","31.1000","31.7000","31.1000"
"2009/12/09","30.9750","11708764.0000","31.7550","31.7550","30.8750"
"2009/12/08","31.7650","7255564.0000","32.0000","32.1950","31.6900"
"2009/12/07","32.2700","4470194.0000","32.1500","32.4950","32.1500"
"2009/12/04","32.1500","5084758.0000","32.6400","32.9250","31.9100"
"2009/12/03","32.3350","5511262.0000","32.6300","32.7950","32.2700"
"2009/12/02","32.6750","2968572.0000","32.2650","33.0650","32.2650"
"2009/12/01","32.7000","3975320.0000","32.6350","33.0450","32.3700"
"2009/11/30","32.4450","4630580.0000","32.4000","32.7700","32.1950"
"2009/11/27","32.5250","2349470.0000","32.2600","32.7200","32.0000"
"2009/11/25","32.8500","3990114.0000","32.2650","32.9350","32.2650"
"2009/11/24","32.2600","3217284.0000","32.3400","32.5500","32.1600"
"2009/11/23","32.2450","4714442.0000","32.4100","32.7650","32.0200"
"2009/11/20","31.9600","6303440.0000","31.6700","32.0400","31.3500"
"2009/11/19","31.7800","4919184.0000","31.9650","32.1500","31.4400"
"2009/11/18","32.2100","4048626.0000","32.3950","32.3950","31.8950"
"2009/11/17","32.4800","3926734.0000","32.9450","33.0000","32.2150"
"2009/11/16","33.0500","5184484.0000","32.3300","33.1700","32.2600"
"2009/11/13","32.2100","3655446.0000","32.1350","32.4800","31.8600"
"2009/11/12","32.0450","3304442.0000","32.4700","32.6950","31.9050"
"2009/11/11","32.4650","3338276.0000","32.3050","32.7850","32.2850"
"2009/11/10","32.2350","4949112.0000","32.6700","32.8450","32.0000"
"2009/11/09","32.6600","4573416.0000","32.2500","32.6650","32.1800"
"2009/11/06","32.2800","3815064.0000","32.3250","32.4100","31.9400"
"2009/11/05","32.3800","5274258.0000","31.7450","32.3950","31.5350"
"2009/11/04","31.3650","4335756.0000","31.4100","31.9000","30.9850"
"2009/11/03","31.3300","5489124.0000","31.1250","31.5250","30.9000"
"2009/11/02","31.2500","5763316.0000","31.1700","31.8100","30.9150"
"2009/10/30","31.0900","7317976.0000","31.6750","31.8950","31.0100"
"2009/10/29","31.8550","5438274.0000","31.5000","32.0550","31.3000"
"2009/10/28","31.2850","7410326.0000","31.8150","32.1300","31.1400"
"2009/10/27","32.0450","7855802.0000","31.8250","32.3450","31.2500"
"2009/10/26","31.8750","5900526.0000","32.0400","32.4800","31.7950"
"2009/10/23","32.0850","6349120.0000","32.5250","32.5800","31.7750"
"2009/10/22","32.5950","4994926.0000","32.4100","32.8500","32.2000"
"2009/10/21","32.3750","6656658.0000","32.5500","32.9000","32.3500"
"2009/10/20","32.5450","6779820.0000","32.7650","32.8950","32.3250"
"2009/10/19","33.0450","9249828.0000","32.5200","33.1750","32.2050"
